"MMC Systems","1603%","$8.8m","IT Services","Virginia","Washington DC",100,
"Genesis Consulting Partners","1601%","$12.1m","IT Services","Virginia","Richmond VA",50,
"Space Saving Solutions","1595%","$5.8m","Business Products & Services","South Carolina","Columbia SC",10,
"Movement Mortgage","1592%","$91.9m","Financial Services","South Carolina","Charlotte",1165,
"Full Circle Marketing","1587%","$3.4m","Advertising & Marketing","Florida","Miami",14,
"Virtual Tech Gurus","1585%","$10.4m","IT Services","Texas","Dallas",23,
"Technical Solutions","1585%","$16.3m","Telecommunications","New York","Poughkeepsie-Newburgh-Middletown NY",213,
"iQuasar","1568%","$3.3m","IT Services","Virginia","Washington DC",11,
"JG Tax Group","1561%","$4.5m","Financial Services","Florida","Miami",55,
"Oncology Analytics","1561%","$2.6m","Health","Florida","Miami",20,
"Patina Solutions","1555%","$9.9m","Human Resources","Wisconsin","Milwaukee-Waukesha-West Allis WI",99,
"RosettaBooks","1549%","$3.2m","Media","New York","New York City",7,
"Acordis International","1542%","$2.2m","IT Services","Florida","Miami",12,
"FreightPros","1541%","$7.1m","Logistics & Transportation","Texas","Austin",25,
"Vintage IT Services","1531%","$28.9m","IT Services","Texas","Austin",18,
"Bottle Rocket Apps","1529%","$10.7m","Software","Texas","Dallas",107,
"SET","1528%","$23.6m","Advertising & Marketing","Oregon","Portland OR",52,
"Landmark Retail","1519%","$6.1m","Construction","New Jersey","New York City",15,
"Regal Assets","1514%","$24.4m","Financial Services","California","Los Angeles",33,
"The FlexPro Group","1513%","$6.6m","Health","Pennsylvania","Philadelphia",32,
"ODW Logistics & Transportation Services","1508%","$14.7m","Logistics & Transportation","Ohio","Cincinnati",20,
"Plug Smart","1507%","$6.3m","Energy","Ohio","Columbus OH",18,
"Column Five","1504%","$5.3m","Advertising & Marketing","California","Los Angeles",42,
"ActivityRez","1481%","$5m","Software","Hawaii","Honolulu HI",9,
"InfoFree","1473%","$2.4m","Business Products & Services","California","San Francisco",145,
"Knight Solutions","1472%","$16.2m","Government Services","Virginia","Washington DC",150,
"ScanDigital","1462%","$7.5m","Consumer Products & Services","California","Los Angeles",48,
"Blue Star Tec","1461%","$2.8m","IT Services","Illinois","Chicago",25,
"Kentech Consulting","1461%","$2.4m","Security","Illinois","Chicago",80,
"DiscoverOrg","1456%","$13.6m","Software","Washington","Portland OR",87,
"Ultraflex Power Technologies","1454%","$2.2m","Manufacturing","New York","New York City",12,
"Clickin Moms","1449%","$2.7m","Media","Illinois","Chicago",10,
"Caduceus Healthcare","1443%","$4.1m","Government Services","Georgia","Atlanta",18,
"Armstrong Steel Building Systems","1438%","$8m","Construction","Colorado","Denver",50,
"Memphis Invest","1429%","$39.9m","Real Estate","Tennessee","Memphis TN-MS-AR",41,
"Reboot Marketing","1428%","$11.7m","Advertising & Marketing","Tennessee","CBSA Metro Region",7,
"OrigAudio","1423%","$3.5m","Consumer Products & Services","California","Los Angeles",13,
"Farm2Fleet Trucking","1415%","$2.3m","Logistics & Transportation","Tennessee","Chattanooga TN-GA",17,
"SHINE Systems & Technologies","1410%","$5.8m","Government Services","Virginia","Charlottesville VA",91,
"Rescue One Financial","1406%","$31.6m","Financial Services","California","Los Angeles",53,
"Ivy Exec","1401%","$2.2m","Human Resources","New York","New York City",30,
"ACT Appraisal","1388%","$15.2m","Real Estate","Illinois","Chicago",46,
"Tolteq","1385%","$28.5m","Energy","Texas","Austin",45,
"Blueline Security Services","1383%","$2.2m","Security","Maryland","Washington DC",148,
"Wireless Communications","1378%","$43.1m","Retail","South Carolina","Greenville-Mauldin-Easley SC",250,
"Panjiva","1377%","$3.9m","Business Products & Services","New York","New York City",48,
"NuCourse Distribution","1373%","$97.4m","Consumer Products & Services","California","Los Angeles",74,
"Legacy Analytics","1364%","$3.5m","Business Products & Services","Illinois","Chicago",80,
"SunSoft","1361%","$2.4m","IT Services","Arizona","Phoenix",85,
"Simpleray","1354%","$2.2m","Energy","Minnesota","Minneapolis",2,
"Green Earth","1350%","$7.6m","Business Products & Services","New Jersey","New York City",53,
"ISBX","1345%","$5.2m","Software","California","Los Angeles",27,
"OneScreen","1344%","$15.8m","Media","California","Los Angeles",72,
"Barbaricum","1340%","$6m","Government Services","District of Columbia","Washington DC",47,
"Seamgen","1328%","$3.7m","Software","California","San Diego",20,
"MiLend","1323%","$14.2m","Financial Services","Georgia","Atlanta",86,
"Sunsight Instruments","1320%","$2.1m","Telecommunications","Florida","Orlando FL",15,
"Applause","1318%","$17m","Business Products & Services","Massachusetts","Boston",116,
"inviCRO","1312%","$5.7m","Health","Massachusetts","Boston",18,
"Gibbon Slacklines","1312%","$3.7m","Consumer Products & Services","Colorado","Boulder CO",12,
"EcoSwift","1311%","$4.1m","Retail","Utah","Provo-Orem UT",21,
"Abbyson Living","1311%","$29.7m","Consumer Products & Services","California","Los Angeles",62,
"Pivot Employment Platforms","1305%","$100.1m","Human Resources","Kansas","Kansas City MO-KS",13,
"Branding Brand","1302%","$8m","Software","Pennsylvania","Pittsburgh PA",126,
"RAMPS International","1299%","$7.3m","IT Services","New Jersey","New York City",90,
"FuelFX","1291%","$2.2m","Advertising & Marketing","Texas","Ashtabula OH",31,
"enVision Business Consulting","1291%","$10.4m","Business Products & Services","Colorado","Denver",20,
"TWO95 International","1289%","$4.5m","IT Services","New Jersey","Philadelphia",85,
"Bed Bug Supply","1285%","$6.8m","Consumer Products & Services","Florida","Miami",9,
"Cartagz","1282%","$20.9m","Consumer Products & Services","California","Sacramento--Arden-Arcade--Roseville CA",8,
"Nisga'a Data Systems","1281%","$9.4m","Government Services","Virginia","Washington DC",62,
"CollabraLink Technologies","1279%","$6.8m","IT Services","Virginia","Washington DC",35,
"Complete Merchant Solutions","1271%","$31m","Financial Services","Utah","Provo-Orem UT",32,
"Williams Strength","1268%","$3.4m","Consumer Products & Services","South Carolina","Columbia SC",32,
"Ustream","1265%","$17.3m","Media","California","San Francisco",254,
"Grammarly","1260%","$8m","Consumer Products & Services","California","San Francisco",50,
"ReverbNation","1257%","$13.8m","Software","North Carolina","Durham NC",61,
"ATDynamics","1255%","$8.2m","Logistics & Transportation","California","San Francisco",50,
"HireVue","1251%","$5.7m","Human Resources","Utah","Salt Lake City",120,
"Echo Health","1250%","$24.9m","Health","Ohio","Cleveland",15,
"Taurean","1249%","$5.8m","Government Services","Texas","San Antonio TX",35,
"Innotion Enterprises","1248%","$41.4m","Real Estate","Virginia","Washington DC",40,
"Configero","1245%","$2.2m","IT Services","Georgia","Atlanta",21,
"Elorac","1245%","$6.1m","Health","Illinois","Chicago",14,
"Fitness On Request","1243%","$3.8m","Health","Minnesota","Minneapolis",29,
"KT TAPE","1239%","$9.1m","Health","Utah","Provo-Orem UT",19,
"Wellness Corporate Solutions","1237%","$9.2m","Health","Maryland","Washington DC",51,
"Profit Sense Innovations","1237%","$5m","Business Products & Services","New Jersey","New York City",38,
"SugarSync","1234%","$17.3m","Software","California","San Francisco",70,
"Magnet 360","1231%","$17.1m","Advertising & Marketing","Minnesota","Minneapolis",71,
"Acceleration Partners","1227%","$3.3m","Advertising & Marketing","Massachusetts","Boston",15,
"Century Payments","1218%","$206.3m","Financial Services","Texas","Dallas",465,
"FCi Federal","1218%","$70.8m","Government Services","Virginia","Washington DC",1352,
"Platinum Advisor Strategies","1218%","$2.3m","Financial Services","Florida","Ocala FL",15,
"Reserveage Organics","1213%","$63.2m","Health","Florida","Gainesville FL",72,
